study_time,attendance,previous_score,assignments,absences,pass
2,55,48,6,12,0
3,62,55,7,9,0
4,70,65,8,6,1
5,82,78,10,3,1
6,90,88,12,1,1
1,48,42,5,15,0
2,68,58,7,8,0
4,76,72,9,5,1
3,73,69,8,7,1
5,85,80,11,2,1
1,40,35,4,20,0
2,58,50,6,11,0
3,66,61,8,9,0
4,79,75,10,4,1
6,92,91,13,0,1
2,60,54,7,10,0
3,71,67,9,6,1
5,88,84,12,2,1
1,52,45,5,14,0
4,81,77,10,3,1
2,64,57,7,9,0
3,69,63,8,8,0
5,86,82,11,2,1
6,95,93,14,0,1
1,45,39,4,18,0
2,57,49,6,13,0
4,74,70,9,5,1
3,75,71,9,6,1
5,89,86,12,1,1
2,61,53,7,10,0
3,67,62,8,7,0
4,83,79,10,4,1
6,91,89,13,1,1
1,50,43,5,16,0
2,63,56,7,9,0
4,77,73,9,5,1
3,72,68,8,6,1
5,87,83,11,2,1
1,42,37,4,19,0
2,59,51,6,12,0
4,80,76,10,3,1
3,70,64,8,7,0
5,84,81,11,2,1
6,93,90,13,0,1
1,47,40,5,17,0
2,65,58,7,8,0
3,74,69,9,5,1
4,78,74,10,4,1
5,90,87,12,1,1
2,56,47,6,12,0
3,68,60,8,8,0
4,82,78,10,3,1
